,alias,name,url,categories,latitude,longitude,address,zip_code,price,rating,review_count
1185,le-musset-paris-3,Le Musset,https://www.yelp.com/biz/le-musset-paris-3,"french, cocktailbars",48.863814,2.334018,169 rue Saint-Honoré,75001,2,3.5,70.0
1186,chez-papa-paris,Chez Papa,https://www.yelp.com/biz/chez-papa-paris,french,48.87057,2.34258,153 rue Montmartre,75002,2,3.5,70.0
1187,chez-georges-paris-6,Chez Georges,https://www.yelp.com/biz/chez-georges-paris-6,french,48.8666718,2.341457,1 rue du Mail,75002,3,4.0,69.0
1190,mori-venice-bar-paris,Mori Venice Bar,https://www.yelp.com/biz/mori-venice-bar-paris,italian,48.8690683,2.3400295,27 rue Vivienne,75002,4,3.5,69.0
1192,cuisine-et-confidences-paris,Cuisine et Confidences,https://www.yelp.com/biz/cuisine-et-confidences-paris,french,48.867658,2.3319092,33 place du Marché Saint-Honoré,75001,2,3.5,69.0
1193,le-cafe-rive-droite-paris,Le Cafe Rive Droite,https://www.yelp.com/biz/le-cafe-rive-droite-paris,"french, coffee, karaoke",48.86076,2.34897,2 rue Berger,75001,2,2.0,69.0
1194,liza-paris-2,Liza,https://www.yelp.com/biz/liza-paris-2,"lebanese, mediterranean, breakfast_brunch",48.8676386,2.3407506,14 rue de la Banque,75002,3,3.5,69.0
1195,mamie-burger-paris,Mamie Burger,https://www.yelp.com/biz/mamie-burger-paris,"tradamerican, burgers, bbq",48.87051,2.3458,18 rue Saint-Fiacre,75002,2,4.0,68.0
1197,sapporo-paris,Sapporo,https://www.yelp.com/biz/sapporo-paris,japanese,48.864456,2.333103,276 rue Saint-Honoré,75001,2,3.5,68.0
1198,hippopotamus-paris-6,Hippopotamus,https://www.yelp.com/biz/hippopotamus-paris-6,steak,48.87075,2.33391,1 boulevard des Capucines,75002,3,2.5,68.0
1199,supernature-paris,Supernature,https://www.yelp.com/biz/supernature-paris,"vegetarian, breakfast_brunch, french",48.87364,2.345154,15 rue de Trévise,75009,2,4.0,68.0
1200,breizh-café-paris-2,Breizh Café,https://www.yelp.com/biz/breizh-caf%C3%A9-paris-2,"creperies, cafes",48.861039,2.361757,109 rue Vieille du Temple,75003,2,4.0,446.0
1201,les-piétons-paris-2,Les Piétons,https://www.yelp.com/biz/les-pi%C3%A9tons-paris-2,tapas,48.85915,2.34993,8 rue des Lombards,75004,2,3.5,337.0
1202,candelaria-paris-2,Candelaria,https://www.yelp.com/biz/candelaria-paris-2,"mexican, speakeasies",48.862981,2.364033,52 rue de Saintonge,75003,2,4.0,330.0
1203,robert-et-louise-paris-2,Robert et Louise,https://www.yelp.com/biz/robert-et-louise-paris-2,"french, steak",48.859081,2.359435,64 rue Vieille du Temple,75003,3,4.0,325.0
1204,holybelly-19-paris,Holybelly 19,https://www.yelp.com/biz/holybelly-19-paris,"breakfast_brunch, cafes, desserts",48.87213,2.36078,19 rue Lucien Sampaix,75010,2,4.5,296.0
1205,le-georges-paris-2,Le Georges,https://www.yelp.com/biz/le-georges-paris-2,french,48.8600210721819,2.35192179679871,Place Georges Pompidou,75004,3,3.0,291.0
1206,le-chateaubriand-paris,Le Chateaubriand,https://www.yelp.com/biz/le-chateaubriand-paris,french,48.86936,2.37133,129 avenue Parmentier,75011,4,4.0,259.0
1207,ober-mamma-paris,Ober Mamma,https://www.yelp.com/biz/ober-mamma-paris,"pizza, italian, cocktailbars",48.86446,2.37018,107 boulevard Richard Lenoir,75011,2,4.5,256.0
1208,pain-vin-fromages-paris,Pain Vin Fromages,https://www.yelp.com/biz/pain-vin-fromages-paris,fondue,48.860525,2.354439,3 rue Geoffroy-l'Angevin,75004,2,4.5,251.0
1210,holybelly-5-paris-2,Holybelly 5,https://www.yelp.com/biz/holybelly-5-paris-2,"breakfast_brunch, coffee",48.871022,2.359819,5 rue Lucien Sampaix,75010,2,4.5,239.0
1211,kitchen-paris-3,Kitchen,https://www.yelp.com/biz/kitchen-paris-3,"breakfast_brunch, vegetarian, juicebars",48.864506,2.354586,74 rue des Gravilliers,75003,2,4.5,224.0
1213,hank-paris-2,Hank,https://www.yelp.com/biz/hank-paris-2,"burgers, vegan, pizza",48.8613519231294,2.35828442920666,55 rue des Archives,75003,2,4.5,210.0
1215,chez-prune-paris,Chez Prune,https://www.yelp.com/biz/chez-prune-paris,"bars, bistros",48.871665,2.36458,36 rue Beaurepaire,75010,2,3.5,177.0
1216,le-404-paris,Le 404,https://www.yelp.com/biz/le-404-paris,"moroccan, breakfast_brunch",48.8644231073671,2.35468786767326,69 rue des Gravilliers,75003,3,3.5,176.0
1217,le-potager-du-marais-paris,Le Potager du Marais,https://www.yelp.com/biz/le-potager-du-marais-paris,"vegetarian, french",48.861,2.35435,24 rue Rambuteau,75003,3,4.0,175.0
1218,soya-paris,Soya,https://www.yelp.com/biz/soya-paris,"breakfast_brunch, vegetarian",48.86805,2.370184,20 rue de la Pierre Levée,75011,3,4.0,173.0
1220,chez-alain-miam-miam-paris,Chez Alain Miam Miam,https://www.yelp.com/biz/chez-alain-miam-miam-paris,"creperies, bakeries, sandwiches",48.862262,2.362023,26 rue Charlot,75003,2,4.5,162.0
1221,siseng-paris,Siseng,https://www.yelp.com/biz/siseng-paris,"burgers, panasian",48.87228,2.36506,82 quai de Jemmapes,75010,2,4.5,160.0
1222,banh-mi-paris,Banh Mi,https://www.yelp.com/biz/banh-mi-paris,"vietnamese, sandwiches",48.86662,2.36071,81 rue de Turbigo,75003,1,4.5,157.0
1223,les-p-tites-indécises-paris-5,Les P'tites Indécises,https://www.yelp.com/biz/les-p-tites-ind%C3%A9cises-paris-5,french,48.8664084869397,2.3721508095052,2 rue des 3 bornes,75011,2,4.0,152.0
